Dataset	PlexID
PTRC_Ex14_H_Plex_03_G_f01_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_04_G_f01_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_04_G_f02_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_04_G_f03_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_03_G_f03_Bane_26Oct20_20-03-08_201027091812	Plex_03
PTRC_Ex14_H_Plex_04_G_f04_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_03_G_f04_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_03_G_f05_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_04_G_f05_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_03_G_f06_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_04_G_f06_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_04_G_f07_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_03_G_f07_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_03_G_f08_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_04_G_f08_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_03_G_f09_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_04_G_f09_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_03_G_f10_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_04_G_f10_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_04_G_f11_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_03_G_f11_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_03_G_f12_Bane_26Oct20_20-03-08	Plex_03
PTRC_Ex14_H_Plex_04_G_f12_Bane_26Oct20_20-03-08	Plex_04
PTRC_Ex14_H_Plex_01_G_f01_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_02_G_f01_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_02_G_f02_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_01_G_f02_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_02_G_f03_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_01_G_f03_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_01_G_f04_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_02_G_f04_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_02_G_f05_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_01_G_f05_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_01_G_f06_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_02_G_f06_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_02_G_f07_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_01_G_f07_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_01_G_f08_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_02_G_f08_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_02_G_f09_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_01_G_f09_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_01_G_f10_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_02_G_f10_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_01_G_f11_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_02_G_f11_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_02_G_f12_Bane_01Nov20_20-03-08	Plex_02
PTRC_Ex14_H_Plex_01_G_f12_Bane_01Nov20_20-03-08	Plex_01
PTRC_Ex14_H_Plex_03_G_f02_Bane_01Nov20_20-03-08	Plex_03
