Dataset	PlexID
PTRC_ex14_M_Plex_01_G_f01_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_03_G_f01_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_02_G_f01_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_04_G_f01_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_02_G_f02_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_01_G_f02_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_04_G_f02_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_03_G_f02_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_02_G_f03_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_03_G_f03_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_04_G_f03_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_01_G_f03_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_03_G_f04_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_04_G_f04_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_01_G_f04_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_02_G_f04_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_03_G_f05_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_02_G_f05_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_01_G_f05_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_04_G_f05_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_02_G_f06_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_04_G_f06_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_03_G_f06_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_01_G_f06_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_01_G_f07_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_02_G_f07_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_04_G_f07_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_03_G_f07_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_01_G_f08_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_02_G_f08_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_03_G_f08_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_04_G_f08_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_04_G_f09_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_03_G_f09_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_02_G_f09_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_01_G_f09_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_02_G_f10_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_03_G_f10_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_04_G_f10_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_01_G_f10_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_02_G_f11_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_03_G_f11_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_04_G_f11_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_01_G_f11_Bane_29Oct20_20-03-08	Plex_01
PTRC_ex14_M_Plex_02_G_f12_Bane_29Oct20_20-03-08	Plex_02
PTRC_ex14_M_Plex_03_G_f12_Bane_29Oct20_20-03-08	Plex_03
PTRC_ex14_M_Plex_04_G_f12_Bane_29Oct20_20-03-08	Plex_04
PTRC_ex14_M_Plex_01_G_f12_Bane_29Oct20_20-03-08	Plex_01
